ZIP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,white,black,ai_an,asian,native_hi,other_pac,X2_or_more,hispanic,median_income
48093,12.44229002,12.43134804,14.55196711,15.18041067,11.35725045,10.68443978,16.94064333,17.36320074,14.15010958,13.25786004,11.67856242,0.831779791,0.106909982,0.002538182,0.030983327,0.000175047,0.002888276,0.011509343,0.013216052,49959
48094,6.914025366,7.540433648,7.241284602,11.90890297,11.12739658,8.414273319,8.175792639,10.52873386,10.7937934,8.172438379,6.947312763,0.91011236,0.016135044,0.003141807,0.009478673,0.000266255,0.012567229,0.007029128,0.041269503,76545
48095,5.673910212,3.166403649,3.257775683,9.36034415,6.899394435,3.818802833,6.361545271,5.32818351,12.6125597,12.33375438,6.662925703,0.967826791,0.0072845,0.000404694,0.007689195,0.001011736,0.001618778,0.003035208,0.011129098,81140
48096,3.26957058,1.900320326,6.300678203,5.397718401,5.59645218,2.795545253,5.046308585,7.989080316,4.759502541,6.285560043,6.142376839,0.967604886,0.001593202,0.003451938,0.005045141,0,0.003983006,0.009028147,0.00929368,67344
48097,6.388400564,4.644354592,9.366821295,11.87925872,9.348473559,5.006168503,9.417860138,11.86126952,12.16272144,10.95541995,9.222251118,0.947062034,0.006003275,0.002910679,0.00072767,0,0.008913953,0.011096962,0.023285428,46129
48098,5.086607854,5.279931207,2.813854244,4.376082846,4.923175018,2.924571678,2.994808538,5.189202303,4.903001838,4.280084098,4.616448933,0.746227084,0.029170465,0.000557075,0.197812215,0,0.002025727,0.013724299,0.010483136,121122
48101,11.64276183,9.548316351,8.209229167,9.92732989,8.552219986,9.737263716,10.10385403,10.67515968,9.711088691,10.13695158,9.550996777,0.876404494,0.018404294,0.004601074,0.006801587,0.000200047,0.018470977,0.009635582,0.065481946,55901
48103,10.2597691,11.86515219,11.35696301,12.17743803,11.55736953,13.23299462,14.6007875,14.45229441,12.46585148,16.34448667,13.43281271,0.792772321,0.061208034,0.002180765,0.07946049,0.000274886,0.009987538,0.020213312,0.033902654,75247
48104,9.319681759,10.28804916,6.800152684,8.306445755,8.831282247,8.543303236,10.85670781,10.32655329,10.25446848,10.75383853,10.64897074,0.778539998,0.038290197,0.001803821,0.109841756,0.000136653,0.008937112,0.023558993,0.03889147,53342
48105,5.350990459,6.630431647,8.487513927,8.011000962,7.15823081,4.996930473,6.896381318,6.225725176,8.506667483,7.940851978,9.527205884,0.637181454,0.067725727,0.001985739,0.240093871,9.03E-05,0.006077564,0.019406084,0.0274393,61316
48108,13.87621848,13.07898762,11.02899049,12.06540696,11.18693189,11.86776046,16.39874596,12.64475561,10.47360814,13.01255277,13.27625733,0.630581062,0.14777501,0.00371761,0.125580877,0.000594818,0.01583702,0.030112644,0.045800959,64258
48109,3.419827694,2.477021147,1.978865527,0.464643772,3.045723045,3.000691483,2.496537992,3.027015411,1.951827549,5.474094873,8.392529983,0.666666667,0,0,0.166666667,0,0,0,0.166666667,21223
48111,11.78998089,12.8147654,9.890757571,8.833320632,9.17796529,7.329072039,9.963099286,9.094027441,8.884396346,11.43294787,11.10907214,0.699616591,0.229998838,0.005367724,0.018124782,0.00037179,0.005878936,0.018240967,0.022400372,56190
48114,6.532575921,9.689312912,8.188726886,5.953552812,9.558935961,9.072674607,10.82574086,11.78615326,10.69759913,10.4737598,11.90833999,0.961623246,0.004759519,0.002104208,0.007114228,0.000300601,0.002204409,0.007715431,0.014178357,84964
48116,8.125985635,9.651748839,10.13939426,8.124605493,9.882764952,9.703497446,9.566205735,10.32086252,11.87942556,10.97954442,11.43374347,0.959680458,0.004597181,0.003843545,0.007310272,0,0.002562363,0.007837817,0.014168362,78388
48117,14.17375898,12.26733425,18.01316234,13.76908848,12.14940003,10.6883206,13.12819237,9.448534255,10.66981728,8.845553714,8.915379356,0.951648993,0.017608717,0.001459286,0.002626715,0,0.002237572,0.00933943,0.015079288,55598
48118,15.32596401,12.68599321,11.5151311,11.49305911,7.146895698,9.46057825,12.8116961,13.04569044,10.64364149,12.07863419,17.12890148,0.956813045,0.003793994,0.003067485,0.008153051,0.00072651,0.002825315,0.008718114,0.015902486,71453
48120,10.31568506,4.502996,4.341176021,2.914507034,7.550168419,1.654066957,3.747478692,5.058840005,6.687406623,3.298918842,5.007759874,0.793082524,0.108737864,0.001941748,0.025728155,0.000364078,0.004854369,0.047572816,0.017718447,39234
48122,26.40398121,16.66136864,15.35037454,9.194636543,11.65820014,12.6602799,12.34303226,11.9904906,13.32642345,9.135997026,8.004965517,0.665206658,0.091423111,0.006609859,0.006769133,0.000398184,0.057418173,0.026439436,0.145735446,39230
48124,10.91187921,8.513245399,7.473724868,7.607836172,6.065841015,6.123083521,8.805350974,9.504668562,8.593179825,6.722964638,9.255802972,0.885375973,0.035280579,0.003028376,0.014536204,0.000393689,0.00757094,0.014172799,0.03964144,62889
48125,15.89785566,14.26130623,14.39608252,11.90995118,10.82631826,12.59792206,15.24136966,10.81014326,14.77716078,15.55261885,13.91424643,0.837677778,0.05845933,0.006191395,0.010363857,0.000403787,0.016510386,0.01368388,0.056709588,48102
48126,7.295828579,5.001415877,4.239111181,3.938750787,3.239993998,3.239467776,5.375176916,4.366553168,2.944099553,4.623950517,3.09970118,0.855333869,0.031296971,0.001214817,0.017439825,0.000350032,0.007474211,0.063891119,0.022999156,31505
48127,6.504843289,5.866695866,5.959101003,5.808675899,5.50712341,5.714289937,5.834570604,6.76069291,9.12062112,6.801227649,4.998242344,0.838257453,0.079324077,0.002448606,0.020342267,0.000134539,0.005812076,0.026315789,0.027365192,49839
48128,3.098249794,6.510468751,6.833360139,4.904657096,3.053854138,5.393039936,9.109690545,6.471518723,5.577206488,4.266781258,6.454781904,0.905896099,0.023278806,0.001887471,0.008358799,0.000359518,0.009257595,0.010066511,0.0408952,79466
48130,10.33690044,10.24926948,10.38560458,14.97293257,11.85201618,8.79867473,11.14852967,10.38446501,13.17653167,15.62117395,10.89892386,0.947677997,0.007318241,0.002735791,0.015115245,0.001025922,0.003214554,0.008822926,0.014089324,85617
48131,4.652527942,12.26256635,7.075140538,8.563467504,10.19838239,10.06049157,8.367709151,11.85540452,12.67045696,12.28705438,10.04586681,0.956923077,0.006593407,0.006446886,0.004249084,0,0.001904762,0.01040293,0.013479853,53939
48133,21.35933284,14.88498144,13.98530737,20.4202991,20.27725614,18.16948589,15.82224429,15.2621259,6.902166435,5.224610481,3.075366904,0.924407862,0.008399126,0.006719301,0.003359651,0,0.011758777,0.010918864,0.034436419,46763
48134,13.8716819,9.331156759,12.3788571,11.12688179,9.718060309,9.886374056,15.73783956,10.25207719,12.66990597,9.573480007,10.87098782,0.86754937,0.046048172,0.004790094,0.02105834,0.000587464,0.008088933,0.015454833,0.036422794,62767
